id,question,keywords,timestamp
unanswered_1748849148.832182,関西の花火大会に合わせて観光するなら、どこ回ればいい？,"[""\u95a2\u897f"", ""\u82b1\u706b\u5927\u4f1a"", ""\u89b3\u5149""]",2025-06-02T16:25:48.832181
unanswered_20250602160844,東京から日帰りで行ける花火大会どこ？アクセスどう行く？,"[""東京"", ""日帰り"", ""花火大会"", ""アクセス""]",2025-06-02T16:08:44.943695
unanswered_20250602160847,夏の日本で夜景や屋台巡り、どこがオススメ？,"[""夜景"", ""屋台"", ""夏"", ""日本"", ""オススメ""]",2025-06-02T16:08:47.649534
unanswered_20250602160849,初めての日本旅行、関東で効率よく回るならどのルート？,"[""日本旅行"", ""関東"", ""効率"", ""ルート"", ""観光""]",2025-06-02T16:08:49.418148
unanswered_20250602160851,浴衣レンタルして花火大会行くなら、どのプランがオススメ？費用は？,"[""浴衣レンタル"", ""花火大会"", ""プラン"", ""費用"", ""おすすめ""]",2025-06-02T16:08:51.029027
unanswered_20250602160853,子ども2人連れて行くなら、東京近郊のどこが家族向け？,"[""東京近郊"", ""家族向け"", ""子供"", ""子連れ"", ""遊び場"", ""スポット"", ""観光"", ""レジャー"", ""お出かけ""]",2025-06-02T16:08:53.384599
unanswered_20250602160855,6月〜8月に日本行くなら、どんな服装がベスト？,"[""日本"", ""服装"", ""6月"", ""7月"", ""8月"", ""夏""]",2025-06-02T16:08:55.171070
unanswered_20250602160856,インスタ映えする日本の花火スポット、どこがいい？,"[""インスタ映え"", ""花火"", ""スポット"", ""日本""]",2025-06-02T16:08:56.740499
unanswered_20250602160858,花火大会で写真撮るなら、どこから撮るといい？,"[""花火大会"", ""撮影場所"", ""写真""]",2025-06-02T16:08:58.395181
unanswered_20250602160900,旅行予算1000ドルで夏の日本、花火も見たいけどプランどう組む？,"[""日本"", ""旅行"", ""プラン"", ""夏"", ""花火"", ""予算"", ""1000ドル""]",2025-06-02T16:09:00.254423
unanswered_20250602160901,花火を見るとき、何を持っていけばいい？注意点も教えて！,"[""花火"", ""持ち物"", ""注意点""]",2025-06-02T16:09:01.867574
unanswered_20250602160903,夏限定ファッションイベント、いつどこでやってる？,"[""夏"", ""限定"", ""ファッションイベント"", ""いつ"", ""どこ""]",2025-06-02T16:09:03.723254
unanswered_20250602160905,東京で浴衣や和小物買うなら、どの店がいい？,"[""東京"", ""浴衣"", ""和小物"", ""店""]",2025-06-02T16:09:05.303338
unanswered_20250602160907,出張ついでに見れる夜の花火スポット、どこある？,"[""花火"", ""スポット"", ""夜"", ""出張ついで"", ""観光""]",2025-06-02T16:09:07.260861
unanswered_20250602160908,羽田か成田から日帰りで行ける花火大会、どれ？,"[""羽田"", ""成田"", ""日帰り"", ""花火大会""]",2025-06-02T16:09:08.804886
unanswered_20250602160910,夏休みに子ども連れて楽しめる東京近郊の安全な施設は？,"[""夏休み"", ""子供"", ""楽しめる"", ""東京近郊"", ""安全"", ""施設""]",2025-06-02T16:09:10.624529
unanswered_20250602160912,英語サポートしっかりある観光施設、どこ？,"[""観光施設"", ""英語サポート"", ""英語対応""]",2025-06-02T16:09:12.261811
unanswered_20250602160914,接待用に花火観るなら、どこ行けば席取れる？,"[""花火"", ""接待"", ""席"", ""予約"", ""観覧席""]",2025-06-02T16:09:14.211308
unanswered_20250602160915,花火大会で貸切屋形船使うなら、どのプランがある？,"[""花火大会"", ""貸切屋形船"", ""プラン""]",2025-06-02T16:09:15.987238
unanswered_20250602160917,関西の花火大会いつ？チケットどう買う？,"[""関西"", ""花火大会"", ""日程"", ""時期"", ""チケット"", ""購入方法""]",2025-06-02T16:09:17.807817
unanswered_20250602160919,関西の花火大会に合わせて観光するなら、どこ回ればいい？,"[""関西"", ""花火大会"", ""観光""]",2025-06-02T16:09:19.416509
unanswered_20250602161723,東京から日帰りで行ける花火大会どこ？アクセスどう行く？,"[""花火大会"", ""東京"", ""日帰り""]",2025-06-02T16:17:23.497594
unanswered_20250602161726,夏の日本で夜景や屋台巡り、どこがオススメ？,"[""夜景"", ""屋台"", ""夏""]",2025-06-02T16:17:26.054373
unanswered_20250602161727,初めての日本旅行、関東で効率よく回るならどのルート？,"[""関東"", ""旅行"", ""ルート""]",2025-06-02T16:17:27.695904
unanswered_20250602161729,浴衣レンタルして花火大会行くなら、どのプランがオススメ？費用は？,"[""浴衣レンタル"", ""花火大会"", ""プラン""]",2025-06-02T16:17:29.189673
unanswered_20250602161730,子ども2人連れて行くなら、東京近郊のどこが家族向け？,"[""東京近郊"", ""家族向け"", ""子供連れ""]",2025-06-02T16:17:30.928757
unanswered_20250602161732,6月〜8月に日本行くなら、どんな服装がベスト？,"[""日本"", ""服装"", ""6月〜8月""]",2025-06-02T16:17:32.621983
unanswered_20250602161734,インスタ映えする日本の花火スポット、どこがいい？,"[""花火スポット"", ""インスタ映え"", ""日本""]",2025-06-02T16:17:34.319119
unanswered_20250602161735,花火大会で写真撮るなら、どこから撮るといい？,"[""花火大会"", ""撮影場所"", ""写真""]",2025-06-02T16:17:35.954349
unanswered_20250602161737,旅行予算1000ドルで夏の日本、花火も見たいけどプランどう組む？,"[""日本旅行"", ""花火"", ""予算1000ドル""]",2025-06-02T16:17:37.781336
unanswered_20250602161739,花火を見るとき、何を持っていけばいい？注意点も教えて！,"[""花火"", ""持ち物"", ""注意点""]",2025-06-02T16:17:39.471043
unanswered_20250602161741,夏限定ファッションイベント、いつどこでやってる？,"[""夏限定"", ""ファッションイベント"", ""開催情報""]",2025-06-02T16:17:41.087689
unanswered_20250602161742,東京で浴衣や和小物買うなら、どの店がいい？,"[""浴衣"", ""和小物"", ""東京""]",2025-06-02T16:17:42.649175
unanswered_20250602161744,出張ついでに見れる夜の花火スポット、どこある？,"[""花火スポット"", ""夜"", ""出張ついで""]",2025-06-02T16:17:44.388668
unanswered_20250602161746,羽田か成田から日帰りで行ける花火大会、どれ？,"[""花火大会"", ""日帰り"", ""羽田成田""]",2025-06-02T16:17:46.030614
unanswered_20250602161747,夏休みに子ども連れて楽しめる東京近郊の安全な施設は？,"[""夏休み"", ""子供向け施設"", ""東京近郊""]",2025-06-02T16:17:47.866583
unanswered_20250602161749,英語サポートしっかりある観光施設、どこ？,"[""観光施設"", ""英語サポート""]",2025-06-02T16:17:49.402575
unanswered_20250602161751,接待用に花火観るなら、どこ行けば席取れる？,"[""花火"", ""席"", ""接待""]",2025-06-02T16:17:51.159782
unanswered_20250602161752,花火大会で貸切屋形船使うなら、どのプランがある？,"[""花火大会"", ""屋形船"", ""貸切プラン""]",2025-06-02T16:17:52.722199
unanswered_20250602161754,関西の花火大会いつ？チケットどう買う？,"[""関西"", ""花火大会"", ""チケット""]",2025-06-02T16:17:54.288773
unanswered_20250602161755,関西の花火大会に合わせて観光するなら、どこ回ればいい？,"[""関西"", ""花火大会"", ""観光""]",2025-06-02T16:17:55.962263
unanswered_20250602162414,東京から日帰りで行ける花火大会どこ？アクセスどう行く？,"[""花火大会"", ""東京"", ""日帰り""]",2025-06-02T16:24:14.503458
unanswered_20250602162459,東京から日帰りで行ける花火大会どこ？アクセスどう行く？,"[""花火大会"", ""東京"", ""日帰り""]",2025-06-02T16:24:59.583741
unanswered_20250602162504,夏の日本で夜景や屋台巡り、どこがオススメ？,"[""夜景"", ""屋台"", ""夏""]",2025-06-02T16:25:04.389490
unanswered_20250602162507,初めての日本旅行、関東で効率よく回るならどのルート？,"[""関東"", ""旅行"", ""ルート""]",2025-06-02T16:25:07.067652
unanswered_20250602162509,浴衣レンタルして花火大会行くなら、どのプランがオススメ？費用は？,"[""浴衣レンタル"", ""花火大会"", ""プラン""]",2025-06-02T16:25:09.368274
unanswered_20250602162511,子ども2人連れて行くなら、東京近郊のどこが家族向け？,"[""東京近郊"", ""家族向け"", ""子供向け""]",2025-06-02T16:25:11.832592
unanswered_20250602162514,6月〜8月に日本行くなら、どんな服装がベスト？,"[""日本"", ""服装"", ""6月〜8月""]",2025-06-02T16:25:14.503924
unanswered_20250602162516,インスタ映えする日本の花火スポット、どこがいい？,"[""花火"", ""インスタ映え"", ""スポット""]",2025-06-02T16:25:16.916746
unanswered_20250602162519,花火大会で写真撮るなら、どこから撮るといい？,"[""花火大会"", ""撮影場所"", ""写真""]",2025-06-02T16:25:19.406418
unanswered_20250602162521,旅行予算1000ドルで夏の日本、花火も見たいけどプランどう組む？,"[""日本旅行"", ""花火"", ""予算1000ドル""]",2025-06-02T16:25:21.890939
unanswered_20250602162524,花火を見るとき、何を持っていけばいい？注意点も教えて！,"[""花火"", ""持ち物"", ""注意点""]",2025-06-02T16:25:24.299196
unanswered_20250602162526,夏限定ファッションイベント、いつどこでやってる？,"[""夏"", ""ファッションイベント"", ""開催情報""]",2025-06-02T16:25:26.943523
unanswered_20250602162529,東京で浴衣や和小物買うなら、どの店がいい？,"[""浴衣"", ""和小物"", ""東京""]",2025-06-02T16:25:29.171566
unanswered_20250602162531,出張ついでに見れる夜の花火スポット、どこある？,"[""花火スポット"", ""夜"", ""出張ついで""]",2025-06-02T16:25:31.855590
unanswered_20250602162534,羽田か成田から日帰りで行ける花火大会、どれ？,"[""花火大会"", ""日帰り"", ""羽田・成田""]",2025-06-02T16:25:34.236364
unanswered_20250602162536,夏休みに子ども連れて楽しめる東京近郊の安全な施設は？,"[""夏休み"", ""子供"", ""東京近郊 安全施設""]",2025-06-02T16:25:36.921611
unanswered_20250602162539,英語サポートしっかりある観光施設、どこ？,"[""観光施設"", ""英語サポート""]",2025-06-02T16:25:39.109162
unanswered_20250602162541,接待用に花火観るなら、どこ行けば席取れる？,"[""花火"", ""席"", ""接待""]",2025-06-02T16:25:41.713482
unanswered_20250602162543,花火大会で貸切屋形船使うなら、どのプランがある？,"[""花火大会"", ""屋形船"", ""プラン""]",2025-06-02T16:25:43.968638
unanswered_20250602162546,関西の花火大会いつ？チケットどう買う？,"[""関西"", ""花火大会"", ""チケット""]",2025-06-02T16:25:46.424641
unanswered_20250602162548,関西の花火大会に合わせて観光するなら、どこ回ればいい？,"[""関西"", ""花火大会"", ""観光""]",2025-06-02T16:25:48.735779
